DateTimeEnding,CLUZ,CVIS,CMIN
10/1/2025 01:00,9152,1241,1909
10/1/2025 02:00,8911,1105,1851
10/1/2025 03:00,8751,898,2005
10/1/2025 04:00,7658,985,1605
10/1/2025 05:00,8635,1119,1798
10/1/2025 06:00,8760,1189,1917
10/1/2025 07:00,8695,1214,1852
10/1/2025 08:00,8925,1306,1914
10/1/2025 09:00,9832,1469,2214
10/1/2025 10:00,10569,1603,2384
10/1/2025 11:00,11020,1712,2498
10/1/2025 12:00,11169,1772,2538
10/1/2025 13:00,11218,1779,2529
10/1/2025 14:00,11725,1861,2614
10/1/2025 15:00,11835,1945,2581
10/1/2025 16:00,11795,1994,2500
10/1/2025 17:00,11520,1993,2440
10/1/2025 18:00,11154,2042,2442
10/1/2025 19:00,11338,2086,2486
10/1/2025 20:00,11134,2023,2346
10/1/2025 21:00,10940,1995,2272
10/1/2025 22:00,10640,1867,2144
10/1/2025 23:00,10382,1761,2055
10/2/2025 00:00,10037,1680,1981
10/2/2025 01:00,9732,1605,1888
10/2/2025 02:00,9380,1561,1842
10/2/2025 03:00,9112,1508,1788
10/2/2025 04:00,8878,1472,1753
10/2/2025 05:00,8945,1471,1782
10/2/2025 06:00,9001,1551,1903
10/2/2025 07:00,8882,1578,1840
10/2/2025 08:00,9156,1630,1886
10/2/2025 09:00,10029,1885,2161
10/2/2025 10:00,10721,2081,2384
10/2/2025 11:00,11271,2182,2513
10/2/2025 12:00,11357,2207,2564
10/2/2025 13:00,11281,2207,2563
10/2/2025 14:00,11758,2317,2670
10/2/2025 15:00,11937,2344,2673
10/2/2025 16:00,11517,2310,2576
10/2/2025 17:00,11255,2249,2486
10/2/2025 18:00,10925,2202,2483
10/2/2025 19:00,11126,2231,2525
10/2/2025 20:00,10808,2113,2392
10/2/2025 21:00,10557,2052,2327
10/2/2025 22:00,10215,1958,2206
10/2/2025 23:00,10007,1835,2116
10/3/2025 00:00,9762,1748,2018
10/3/2025 01:00,9460,1681,1923
10/3/2025 02:00,9190,1622,1856
10/3/2025 03:00,8920,1577,1807
10/3/2025 04:00,8739,1537,1774
10/3/2025 05:00,8835,1561,1808
10/3/2025 06:00,8788,1632,1903
10/3/2025 07:00,8754,1627,1835
10/3/2025 08:00,9050,1691,1945
10/3/2025 09:00,9783,1968,2235
10/3/2025 10:00,10345,2093,2381
10/3/2025 11:00,10563,2185,2499
10/3/2025 12:00,10450,2215,2562
10/3/2025 13:00,10009,2183,2569
10/3/2025 14:00,10067,2291,2665
10/3/2025 15:00,9801,2340,2660
10/3/2025 16:00,9785,2316,2584
10/3/2025 17:00,9764,2268,2495
10/3/2025 18:00,9767,2230,2459
10/3/2025 19:00,9974,2231,2494
10/3/2025 20:00,9610,2134,2400
10/3/2025 21:00,9437,2077,2321
10/3/2025 22:00,9087,2007,2185
10/3/2025 23:00,8514,1898,2099
10/4/2025 00:00,8573,1812,2009
10/4/2025 01:00,8389,1714,1902
10/4/2025 02:00,8184,1658,1823
10/4/2025 03:00,7955,1604,1762
10/4/2025 04:00,7741,1567,1764
10/4/2025 05:00,7761,1548,1754
10/4/2025 06:00,7857,1587,1812
10/4/2025 07:00,7808,1592,1809
10/4/2025 08:00,8040,1652,1902
10/4/2025 09:00,8821,1803,2060
10/4/2025 10:00,9515,1945,2241
10/4/2025 11:00,10141,2025,2335
10/4/2025 12:00,10244,2059,2377
10/4/2025 13:00,10188,2038,2339
10/4/2025 14:00,10481,2146,2440
10/4/2025 15:00,10419,2174,2436
10/4/2025 16:00,10041,2148,2403
10/4/2025 17:00,9857,2121,2318
10/4/2025 18:00,9789,2150,2367
10/4/2025 19:00,10170,2250,2456
10/4/2025 20:00,9970,2129,2328
10/4/2025 21:00,9846,2069,2287
10/4/2025 22:00,9556,1991,2176
10/4/2025 23:00,9245,1883,2115
10/5/2025 00:00,9027,1788,2000
10/5/2025 01:00,8648,1710,1906
10/5/2025 02:00,8346,1642,1851
10/5/2025 03:00,8026,1596,1807
10/5/2025 04:00,7701,1560,1747
10/5/2025 05:00,7618,1538,1754
10/5/2025 06:00,7554,1545,1765
10/5/2025 07:00,7495,1535,1748
10/5/2025 08:00,7530,1557,1787
10/5/2025 09:00,8218,1647,1881
10/5/2025 10:00,8786,1753,1958
10/5/2025 11:00,9087,1828,2063
10/5/2025 12:00,9333,1883,2125
10/5/2025 13:00,9395,1899,2172
10/5/2025 14:00,9464,1926,2178
10/5/2025 15:00,9493,1927,2147
10/5/2025 16:00,9560,1879,2138
10/5/2025 17:00,9459,1907,2117
10/5/2025 18:00,9479,1982,2225
10/5/2025 19:00,9876,2101,2362
10/5/2025 20:00,9851,2008,2257
10/5/2025 21:00,10136,1927,2180
10/5/2025 22:00,9970,1856,2062
10/5/2025 23:00,9582,1751,1973
10/6/2025 00:00,9150,1689,1924
10/6/2025 01:00,8657,1605,1828
10/6/2025 02:00,8330,1544,1745
10/6/2025 03:00,8013,1506,1718
10/6/2025 04:00,7878,1473,1688
10/6/2025 05:00,8064,1500,1735
10/6/2025 06:00,8303,1597,1836
10/6/2025 07:00,8436,1622,1811
10/6/2025 08:00,8755,1661,1887
10/6/2025 09:00,9714,1941,2170
10/6/2025 10:00,10434,2136,2341
10/6/2025 11:00,11035,2264,2434
10/6/2025 12:00,11114,2278,2498
