DateTimeEnding,CLUZ,CVIS,CMIN
10/1/2025 00:05,9330,1179,1941
10/1/2025 00:10,9289,1264,1943
10/1/2025 00:15,9264,1258,1926
10/1/2025 00:20,9211,1129,1914
10/1/2025 00:25,9190,1123,1929
10/1/2025 00:30,9181,1120,1917
10/1/2025 00:35,9170,1376,1904
10/1/2025 00:40,9096,1370,1900
10/1/2025 00:45,9116,1424,1897
10/1/2025 00:50,9028,1174,1894
10/1/2025 00:55,8958,1267,1872
10/1/2025 01:00,8986,1206,1877
10/1/2025 01:05,8980,1224,1869
10/1/2025 01:10,9012,1080,1864
10/1/2025 01:15,8948,1075,1863
10/1/2025 01:20,9062,1055,1914
10/1/2025 01:25,8917,1084,1856
10/1/2025 01:30,8992,1105,1858
10/1/2025 01:35,8885,1101,1846
10/1/2025 01:40,8877,1097,1838
10/1/2025 01:45,8923,1131,1832
10/1/2025 01:50,8805,1105,1828
10/1/2025 01:55,8769,1102,1825
10/1/2025 02:00,8757,1098,1818
10/1/2025 02:05,8835,1142,1804
10/1/2025 02:10,8812,1109,1837
10/1/2025 02:15,8800,1076,1856
10/1/2025 02:20,8784,1103,1814
10/1/2025 02:25,8778,712,2186
10/1/2025 02:30,8734,699,2200
10/1/2025 02:35,8731,687,2208
10/1/2025 02:40,8720,674,2207
10/1/2025 02:45,8712,668,2212
10/1/2025 02:50,8690,1005,1869
10/1/2025 02:55,0,0,0
10/1/2025 03:00,0,0,0
10/1/2025 03:05,0,0,0
10/1/2025 03:10,0,0,0
10/1/2025 03:15,8387,1078,1764
10/1/2025 03:20,8404,1078,1766
10/1/2025 03:25,8381,1078,1775
10/1/2025 03:30,8419,1087,1772
10/1/2025 03:35,8410,1086,1763
10/1/2025 03:40,8430,1087,1771
10/1/2025 03:45,8445,1092,1763
10/1/2025 03:50,8456,1084,1763
10/1/2025 03:55,8438,1084,1760
10/1/2025 04:00,8463,1085,1760
10/1/2025 04:05,8486,1088,1768
10/1/2025 04:10,8526,1093,1775
10/1/2025 04:15,8553,1105,1783
10/1/2025 04:20,8606,1112,1794
10/1/2025 04:25,8634,1112,1809
10/1/2025 04:30,8629,1116,1791
10/1/2025 04:35,8652,1119,1797
10/1/2025 04:40,8683,1127,1801
10/1/2025 04:45,8690,1131,1801
10/1/2025 04:50,8704,1136,1810
10/1/2025 04:55,8724,1144,1820
10/1/2025 05:00,8738,1145,1823
10/1/2025 05:05,8594,1143,1836
10/1/2025 05:10,8670,1151,1860
10/1/2025 05:15,8705,1157,1871
10/1/2025 05:20,8736,1166,1901
10/1/2025 05:25,8765,1177,1913
10/1/2025 05:30,8766,1187,1936
10/1/2025 05:35,8815,1205,1946
10/1/2025 05:40,8815,1213,1963
10/1/2025 05:45,8797,1219,1959
10/1/2025 05:50,8803,1219,1952
10/1/2025 05:55,8803,1217,1937
10/1/2025 06:00,8853,1213,1929
10/1/2025 06:05,8694,1210,1912
10/1/2025 06:10,8729,1208,1899
10/1/2025 06:15,8725,1203,1879
10/1/2025 06:20,8718,1196,1870
10/1/2025 06:25,8720,1222,1853
10/1/2025 06:30,8672,1219,1847
10/1/2025 06:35,8676,1219,1836
10/1/2025 06:40,8679,1209,1838
10/1/2025 06:45,8672,1218,1830
10/1/2025 06:50,8650,1213,1820
10/1/2025 06:55,8704,1209,1818
10/1/2025 07:00,8706,1240,1826
10/1/2025 07:05,8599,1257,1817
10/1/2025 07:10,8680,1267,1826
10/1/2025 07:15,8762,1271,1834
10/1/2025 07:20,8833,1279,1853
10/1/2025 07:25,8802,1283,1871
10/1/2025 07:30,8847,1292,1898
10/1/2025 07:35,8900,1309,1911
10/1/2025 07:40,8992,1324,1941
10/1/2025 07:45,9033,1343,1965
10/1/2025 07:50,9128,1329,1991
10/1/2025 07:55,9209,1348,2023
10/1/2025 08:00,9314,1371,2043
10/1/2025 08:05,9425,1396,2084
10/1/2025 08:10,9556,1409,2119
10/1/2025 08:15,9625,1428,2142
10/1/2025 08:20,9688,1447,2183
10/1/2025 08:25,9769,1448,2195
10/1/2025 08:30,9822,1459,2215
10/1/2025 08:35,9840,1478,2236
10/1/2025 08:40,9892,1492,2260
10/1/2025 08:45,9941,1504,2284
10/1/2025 08:50,10093,1511,2289
10/1/2025 08:55,10140,1523,2274
10/1/2025 09:00,10199,1535,2281
10/1/2025 09:05,10277,1539,2298
10/1/2025 09:10,10316,1552,2317
10/1/2025 09:15,10325,1562,2330
10/1/2025 09:20,10425,1570,2374
10/1/2025 09:25,10451,1575,2390
10/1/2025 09:30,10480,1610,2380
10/1/2025 09:35,10629,1615,2392
10/1/2025 09:40,10682,1624,2423
