name,latitude,longitude,datetime,temp,dew,precip,windgust,windspeed,cloudcover,solarradiation,solarenergy,uvindex
Manila,14.596,120.977,2025-10-01T00:00:00,27,26,0,6.8,5.4,99.9,0,0,0
Manila,14.596,120.977,2025-10-01T01:00:00,27,26,0.1,7.9,5.4,90.4,0,0,0
Manila,14.596,120.977,2025-10-01T02:00:00,25.8,25.1,0.3,10.4,4.1,98.8,0,0,0
Manila,14.596,120.977,2025-10-01T03:00:00,26,26,0.1,6.8,9.3,89.2,0,0,0
Manila,14.596,120.977,2025-10-01T04:00:00,26,26,0.2,6.8,3.6,89.2,0,0,0
Manila,14.596,120.977,2025-10-01T05:00:00,24.7,23.9,0.2,7.9,0,64.2,0,0,0
Manila,14.596,120.977,2025-10-01T06:00:00,26,26,0.2,9.4,3.6,55.4,11,0,0
Manila,14.596,120.977,2025-10-01T07:00:00,28,26,0,13.3,3.7,25.5,75,0.3,1
Manila,14.596,120.977,2025-10-01T08:00:00,26.9,24.7,0,15.1,4.7,53.9,354,1.3,4
Manila,14.596,120.977,2025-10-01T09:00:00,31,25,0.2,18,5.4,25.2,465,1.7,5
Manila,14.596,120.977,2025-10-01T10:00:00,31,25,0.4,20.2,13,25,709,2.6,7
Manila,14.596,120.977,2025-10-01T11:00:00,30.6,23.8,0.5,21.2,7.8,67.7,241,0.9,2
Manila,14.596,120.977,2025-10-01T12:00:00,29.2,22.8,0.4,21.6,24.6,30,436,1.6,4
Manila,14.596,120.977,2025-10-01T13:00:00,29.2,21.8,0.1,21.2,23,30,206,0.7,2
Manila,14.596,120.977,2025-10-01T14:00:00,30.2,23.7,0.2,19.4,12.5,82.7,243,0.9,2
Manila,14.596,120.977,2025-10-01T15:00:00,33,25,0,18.7,13,55.2,81,0.3,1
Manila,14.596,120.977,2025-10-01T16:00:00,32,25,0,16.2,9.4,25.2,52,0.2,1
Manila,14.596,120.977,2025-10-01T17:00:00,30.8,25.8,0.3,15.1,7.2,88,32,0.1,0
Manila,14.596,120.977,2025-10-01T18:00:00,28,22.4,0.4,11.5,20.9,25.4,0,0,0
Manila,14.596,120.977,2025-10-01T19:00:00,30,25,0,10.8,9.3,55.4,0,0,0
Manila,14.596,120.977,2025-10-01T20:00:00,27.7,25,0,9.4,3.3,19.4,0,0,0
Manila,14.596,120.977,2025-10-01T21:00:00,26.6,22.6,0,7.2,19.2,30.4,0,0,0
Manila,14.596,120.977,2025-10-01T22:00:00,26.6,21.8,0,6.8,17.4,30.4,0,0,0
Manila,14.596,120.977,2025-10-01T23:00:00,26.9,25,0.1,6.5,3.7,15.9,0,0,0
Manila,14.596,120.977,2025-10-02T00:00:00,25,22.6,0.2,10.4,15.5,35.4,0,0,0
Manila,14.596,120.977,2025-10-02T01:00:00,28,25,0.3,15.8,5.4,55.4,0,0,0
Manila,14.596,120.977,2025-10-02T02:00:00,25.6,24.2,0.1,14.8,1.8,17.8,0,0,0
